From,To,Valid-From,Valid-Until,Days,Departure,Arrival,Flight,Aircraft,Duration,from,until,AircraftName,ICAO,Capacity,FromAirport,FromCity,FromCountry,FromLatitude,FromLongitude,ToAirport,ToCity,ToCountry,ToLatitude,ToLongitude,passenger_pre,To_city_country,population_from,population,city_id,from_city_id,from_to
AAL,AAR,2009-01-02,2009-01-30,17,19:40,20:05,BA8280,D38,00:25,2,30,Fairchild Dornier Do.328,D328,33,Aalborg,Aalborg,Denmark,57.092789,9.849164,Aarhus,Aarhus,Denmark,56.300017,10.619008,9,Denmark_Aarhus,122219.0,237551.0,2451,4162,AAL_AAR
OSL,AAR,2009-01-03,2009-01-30,2345,18:25,19:35,BA8272,D38,01:10,3,30,Fairchild Dornier Do.328,D328,33,Gardermoen,Oslo,Norway,60.193917,11.100361,Aarhus,Aarhus,Denmark,56.300017,10.619008,18,Denmark_Aarhus,693494.0,237551.0,2451,719,OSL_AAR
OSL,AAR,2009-01-02,2009-01-30,1234,09:00,10:10,BA8270,D38,01:10,2,30,Fairchild Dornier Do.328,D328,33,Gardermoen,Oslo,Norway,60.193917,11.100361,Aarhus,Aarhus,Denmark,56.300017,10.619008,18,Denmark_Aarhus,693494.0,237551.0,2451,719,OSL_AAR
OSL,AAR,2009-01-02,2009-01-30,17,18:20,20:05,BA8280,D38,01:45,2,30,Fairchild Dornier Do.328,D328,33,Gardermoen,Oslo,Norway,60.193917,11.100361,Aarhus,Aarhus,Denmark,56.300017,10.619008,9,Denmark_Aarhus,693494.0,237551.0,2451,719,OSL_AAR
AAL,OSL,2009-01-03,2009-01-30,2345,17:25,18:25,BA8275,D38,01:00,3,30,Fairchild Dornier Do.328,D328,33,Aalborg,Aalborg,Denmark,57.092789,9.849164,Gardermoen,Oslo,Norway,60.193917,11.100361,18,Norway_Oslo,122219.0,693494.0,719,4162,AAL_OSL
AAL,OSL,2009-01-02,2009-01-30,1234,07:15,08:15,BA8273,D38,01:00,2,30,Fairchild Dornier Do.328,D328,33,Aalborg,Aalborg,Denmark,57.092789,9.849164,Gardermoen,Oslo,Norway,60.193917,11.100361,18,Norway_Oslo,122219.0,693494.0,719,4162,AAL_OSL
AAL,OSL,2009-01-02,2009-01-30,17,16:50,17:50,BA8279,D38,01:00,2,30,Fairchild Dornier Do.328,D328,33,Aalborg,Aalborg,Denmark,57.092789,9.849164,Gardermoen,Oslo,Norway,60.193917,11.100361,9,Norway_Oslo,122219.0,693494.0,719,4162,AAL_OSL
AAR,OSL,2009-01-03,2009-01-30,2345,16:50,18:00,BA8271,D38,01:10,3,30,Fairchild Dornier Do.328,D328,33,Aarhus,Aarhus,Denmark,56.300017,10.619008,Gardermoen,Oslo,Norway,60.193917,11.100361,18,Norway_Oslo,237551.0,693494.0,719,2451,AAR_OSL
AAR,OSL,2009-01-02,2009-01-30,1234,07:20,08:30,BA8269,D38,01:10,2,30,Fairchild Dornier Do.328,D328,33,Aarhus,Aarhus,Denmark,56.300017,10.619008,Gardermoen,Oslo,Norway,60.193917,11.100361,18,Norway_Oslo,237551.0,693494.0,719,2451,AAR_OSL
AAR,OSL,2009-01-02,2009-01-30,17,16:05,17:50,BA8279,D38,01:45,2,30,Fairchild Dornier Do.328,D328,33,Aarhus,Aarhus,Denmark,56.300017,10.619008,Gardermoen,Oslo,Norway,60.193917,11.100361,9,Norway_Oslo,237551.0,693494.0,719,2451,AAR_OSL
